a_hat,Nu_hat,N_hat,No,trial,T,avg_n,N,type
-999.0,12.654393947924916,167.65439394792492,155,103,5,33.2,1000.0,Huggins
-999.0,646.0909090909091,801.0909090909091,155,103,5,33.2,1000.0,Schnabel
-999.0,1172.714147713015,1327.714147713015,155,103,5,33.2,1000.0,Zelterman
-999.0,279.0,434.0,155,103,5,33.2,1000.0,Jackknife k = 4
-999.0,252.58333333333331,407.5833333333333,155,103,5,33.2,1000.0,Jackknife k = 3
-999.0,279.0,434.0,155,103,5,33.2,1000.0,Jackknife k = 5
-999.0,6321.20406140604,6476.20406140604,155,103,5,33.2,1000.0,Conway-Maxwell-Poisson
-999.0,841.4760266310427,996.4760266310427,155,103,5,33.2,1000.0,Turing
-999.0,198.95,353.95,155,103,5,33.2,1000.0,Jackknife k = 2
-999.0,116.0,271.0,155,103,5,33.2,1000.0,Jackknife k = 1
-999.0,1168.0555555555557,1323.0555555555557,155,103,5,33.2,1000.0,Chao
0.3547256661309238,3082.4812288869134,3321.4812288869134,239,103,10,27.6,1000.0,Pseudolikelihood
-999.0,1573.1811794158577,1812.1811794158577,239,103,10,27.6,1000.0,Turing Geometric
-999.0,6.427958561376357,245.42795856137636,239,103,10,27.6,1000.0,Huggins
-999.0,552.5135135135135,791.5135135135135,239,103,10,27.6,1000.0,Schnabel
-999.0,841.4739877408838,1080.4739877408838,239,103,10,27.6,1000.0,Zelterman
-999.0,544.6595238095239,783.6595238095239,239,103,10,27.6,1000.0,Jackknife k = 4
-999.0,452.2833333333334,691.2833333333334,239,103,10,27.6,1000.0,Jackknife k = 3
-999.0,616.4660714285714,855.4660714285714,239,103,10,27.6,1000.0,Jackknife k = 5
-999.0,2751.9157813638863,2990.9157813638863,239,103,10,27.6,1000.0,Conway-Maxwell-Poisson
-999.0,647.188741719377,886.188741719377,239,103,10,27.6,1000.0,Turing
-999.0,335.111111111111,574.111111111111,239,103,10,27.6,1000.0,Jackknife k = 2
-999.0,187.20000000000005,426.20000000000005,239,103,10,27.6,1000.0,Jackknife k = 1
-999.0,832.0,1071.0,239,103,10,27.6,1000.0,Chao
0.49230803896812614,2416.8228455510553,2714.8228455510553,298,103,15,23.733333333333334,1000.0,Pseudolikelihood
-999.0,1560.738785030961,1858.738785030961,298,103,15,23.733333333333334,1000.0,Turing Geometric
-999.0,4.458227397922258,302.45822739792226,298,103,15,23.733333333333334,1000.0,Huggins
-999.0,568.3620689655172,866.3620689655172,298,103,15,23.733333333333334,1000.0,Schnabel
-999.0,869.0945806778443,1167.0945806778443,298,103,15,23.733333333333334,1000.0,Zelterman
-999.0,703.9083943833945,1001.9083943833945,298,103,15,23.733333333333334,1000.0,Jackknife k = 4
